dteday,season,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1/1/2011,spring,0,0,Saturday,0,Clear,0.24,0.2879,0.81,0,16
1/1/2011,spring,1,0,Saturday,0,Clear,0.22,0.2727,0.8,0,40
1/1/2011,spring,2,0,Saturday,0,Clear,0.22,0.2727,0.8,0,32
1/1/2011,spring,3,0,Saturday,0,Clear,0.24,0.2879,0.75,0,13
1/1/2011,spring,4,0,Saturday,0,Clear,0.24,0.2879,0.75,0,1
1/1/2011,spring,5,0,Saturday,0,Slightly cloudy,0.24,0.2576,0.75,0.0896,1
1/1/2011,spring,6,0,Saturday,0,Clear,0.22,0.2727,0.8,0,2
1/1/2011,spring,7,0,Saturday,0,Clear,0.2,0.2576,0.86,0,3
1/1/2011,spring,8,0,Saturday,0,Clear,0.24,0.2879,0.75,0,8
1/1/2011,spring,9,0,Saturday,0,Clear,0.32,0.3485,0.76,0,14
1/1/2011,spring,10,0,Saturday,0,Clear,0.38,0.3939,0.76,0.2537,36
1/1/2011,spring,11,0,Saturday,0,Clear,0.36,0.3333,0.81,0.2836,56
1/1/2011,spring,12,0,Saturday,0,Clear,0.42,0.4242,0.77,0.2836,84
1/1/2011,spring,13,0,Saturday,0,Slightly cloudy,0.46,0.4545,0.72,0.2985,94
1/1/2011,spring,14,0,Saturday,0,Slightly cloudy,0.46,0.4545,0.72,0.2836,106
1/1/2011,spring,15,0,Saturday,0,Slightly cloudy,0.44,0.4394,0.77,0.2985,110
1/1/2011,spring,16,0,Saturday,0,Slightly cloudy,0.42,0.4242,0.82,0.2985,93
1/1/2011,spring,17,0,Saturday,0,Slightly cloudy,0.44,0.4394,0.82,0.2836,67
1/1/2011,spring,18,0,Saturday,0,Light Snow,0.42,0.4242,0.88,0.2537,35
1/1/2011,spring,19,0,Saturday,0,Light Snow,0.42,0.4242,0.88,0.2537,37
1/1/2011,spring,20,0,Saturday,0,Slightly cloudy,0.4,0.4091,0.87,0.2537,36
1/1/2011,spring,21,0,Saturday,0,Slightly cloudy,0.4,0.4091,0.87,0.194,34
1/1/2011,spring,22,0,Saturday,0,Slightly cloudy,0.4,0.4091,0.94,0.2239,28
1/1/2011,spring,23,0,Saturday,0,Slightly cloudy,0.46,0.4545,0.88,0.2985,39
1/2/2011,spring,0,0,Sunday,0,Slightly cloudy,0.46,0.4545,0.88,0.2985,17
1/2/2011,spring,1,0,Sunday,0,Slightly cloudy,0.44,0.4394,0.94,0.2537,17
1/2/2011,spring,2,0,Sunday,0,Slightly cloudy,0.42,0.4242,1,0.2836,9
1/2/2011,spring,3,0,Sunday,0,Slightly cloudy,0.46,0.4545,0.94,0.194,6
1/2/2011,spring,4,0,Sunday,0,Slightly cloudy,0.46,0.4545,0.94,0.194,3
1/2/2011,spring,6,0,Sunday,0,Light Snow,0.42,0.4242,0.77,0.2985,2
1/2/2011,spring,7,0,Sunday,0,Slightly cloudy,0.4,0.4091,0.76,0.194,1
1/2/2011,spring,8,0,Sunday,0,Light Snow,0.4,0.4091,0.71,0.2239,8
1/2/2011,spring,9,0,Sunday,0,Slightly cloudy,0.38,0.3939,0.76,0.2239,20
1/2/2011,spring,10,0,Sunday,0,Slightly cloudy,0.36,0.3485,0.81,0.2239,53
1/2/2011,spring,11,0,Sunday,0,Slightly cloudy,0.36,0.3333,0.71,0.2537,70
1/2/2011,spring,12,0,Sunday,0,Slightly cloudy,0.36,0.3333,0.66,0.2985,93
1/2/2011,spring,13,0,Sunday,0,Slightly cloudy,0.36,0.3485,0.66,0.1343,75
1/2/2011,spring,14,0,Sunday,0,Light Snow,0.36,0.3485,0.76,0.194,59
1/2/2011,spring,15,0,Sunday,0,Light Snow,0.34,0.3333,0.81,0.1642,74
1/2/2011,spring,16,0,Sunday,0,Light Snow,0.34,0.3333,0.71,0.1642,76
1/2/2011,spring,17,0,Sunday,0,Clear,0.34,0.3333,0.57,0.194,65
1/2/2011,spring,18,0,Sunday,0,Slightly cloudy,0.36,0.3333,0.46,0.3284,53
1/2/2011,spring,19,0,Sunday,0,Clear,0.32,0.2879,0.42,0.4478,30
1/2/2011,spring,20,0,Sunday,0,Clear,0.3,0.2727,0.39,0.3582,22
1/2/2011,spring,21,0,Sunday,0,Clear,0.26,0.2273,0.44,0.3284,31
1/2/2011,spring,22,0,Sunday,0,Clear,0.24,0.2121,0.44,0.2985,9
1/2/2011,spring,23,0,Sunday,0,Clear,0.22,0.2273,0.47,0.1642,8
1/3/2011,spring,0,0,Monday,1,Clear,0.22,0.197,0.44,0.3582,5
1/3/2011,spring,1,0,Monday,1,Clear,0.2,0.1667,0.44,0.4179,2
1/3/2011,spring,4,0,Monday,1,Clear,0.16,0.1364,0.47,0.3881,1
1/3/2011,spring,5,0,Monday,1,Clear,0.16,0.1364,0.47,0.2836,3
1/3/2011,spring,6,0,Monday,1,Clear,0.14,0.1061,0.5,0.3881,30
1/3/2011,spring,7,0,Monday,1,Clear,0.14,0.1364,0.5,0.194,64
1/3/2011,spring,8,0,Monday,1,Clear,0.14,0.1212,0.5,0.2836,154
1/3/2011,spring,9,0,Monday,1,Clear,0.16,0.1364,0.43,0.3881,88
1/3/2011,spring,10,0,Monday,1,Clear,0.18,0.1667,0.43,0.2537,44
1/3/2011,spring,11,0,Monday,1,Clear,0.2,0.1818,0.4,0.3284,51
1/3/2011,spring,12,0,Monday,1,Clear,0.22,0.2121,0.35,0.2985,61
1/3/2011,spring,13,0,Monday,1,Clear,0.24,0.2121,0.35,0.2836,61
1/3/2011,spring,14,0,Monday,1,Clear,0.26,0.2424,0.3,0.2836,77
1/3/2011,spring,15,0,Monday,1,Clear,0.26,0.2424,0.3,0.2537,72
1/3/2011,spring,16,0,Monday,1,Clear,0.26,0.2424,0.3,0.2537,76
1/3/2011,spring,17,0,Monday,1,Clear,0.24,0.2273,0.3,0.2239,157
1/3/2011,spring,18,0,Monday,1,Clear,0.24,0.2576,0.32,0.1045,157
1/3/2011,spring,19,0,Monday,1,Clear,0.2,0.2576,0.47,0,110
1/3/2011,spring,20,0,Monday,1,Clear,0.2,0.2273,0.47,0.1045,52
1/3/2011,spring,21,0,Monday,1,Clear,0.18,0.197,0.64,0.1343,52
1/3/2011,spring,22,0,Monday,1,Clear,0.14,0.1515,0.69,0.1343,20
1/3/2011,spring,23,0,Monday,1,Clear,0.18,0.2121,0.55,0.1045,12
1/4/2011,spring,0,0,Tuesday,1,Clear,0.16,0.1818,0.55,0.1045,5
1/4/2011,spring,1,0,Tuesday,1,Clear,0.16,0.1818,0.59,0.1045,2
1/4/2011,spring,2,0,Tuesday,1,Clear,0.14,0.1515,0.63,0.1343,1
1/4/2011,spring,4,0,Tuesday,1,Clear,0.14,0.1818,0.63,0.0896,2
1/4/2011,spring,5,0,Tuesday,1,Clear,0.12,0.1515,0.68,0.1045,4
1/4/2011,spring,6,0,Tuesday,1,Clear,0.12,0.1515,0.74,0.1045,36
1/4/2011,spring,7,0,Tuesday,1,Clear,0.12,0.1515,0.74,0.1343,94
1/4/2011,spring,8,0,Tuesday,1,Clear,0.14,0.1515,0.69,0.1642,179
1/4/2011,spring,9,0,Tuesday,1,Clear,0.16,0.1515,0.64,0.2239,100
1/4/2011,spring,10,0,Tuesday,1,Slightly cloudy,0.16,0.1364,0.69,0.3284,42
1/4/2011,spring,11,0,Tuesday,1,Clear,0.22,0.2121,0.51,0.2985,57
1/4/2011,spring,12,0,Tuesday,1,Clear,0.22,0.2273,0.51,0.1642,78
1/4/2011,spring,13,0,Tuesday,1,Clear,0.24,0.2273,0.56,0.194,97
1/4/2011,spring,14,0,Tuesday,1,Clear,0.26,0.2576,0.52,0.2239,63
1/4/2011,spring,15,0,Tuesday,1,Clear,0.28,0.2727,0.52,0.2537,65
1/4/2011,spring,16,0,Tuesday,1,Clear,0.3,0.2879,0.49,0.2537,83
1/4/2011,spring,17,0,Tuesday,1,Clear,0.28,0.2727,0.48,0.2239,212
1/4/2011,spring,18,0,Tuesday,1,Clear,0.26,0.2576,0.48,0.194,182
1/4/2011,spring,19,0,Tuesday,1,Clear,0.24,0.2576,0.48,0.1045,112
1/4/2011,spring,20,0,Tuesday,1,Clear,0.24,0.2576,0.48,0.1045,54
1/4/2011,spring,21,0,Tuesday,1,Clear,0.22,0.2727,0.64,0,48
1/4/2011,spring,22,0,Tuesday,1,Clear,0.22,0.2576,0.64,0.0896,35
1/4/2011,spring,23,0,Tuesday,1,Clear,0.2,0.2273,0.69,0.0896,11
1/5/2011,spring,0,0,Wednesday,1,Clear,0.2,0.2576,0.64,0,6
1/5/2011,spring,1,0,Wednesday,1,Clear,0.16,0.197,0.74,0.0896,6
1/5/2011,spring,2,0,Wednesday,1,Clear,0.16,0.197,0.74,0.0896,2
1/5/2011,spring,4,0,Wednesday,1,Clear,0.24,0.2273,0.48,0.2239,2
1/5/2011,spring,5,0,Wednesday,1,Clear,0.22,0.2273,0.47,0.1642,3
1/5/2011,spring,6,0,Wednesday,1,Clear,0.2,0.197,0.47,0.2239,33
1/5/2011,spring,7,0,Wednesday,1,Clear,0.18,0.1818,0.43,0.194,88
1/5/2011,spring,8,0,Wednesday,1,Clear,0.2,0.1818,0.4,0.2985,195
1/5/2011,spring,9,0,Wednesday,1,Clear,0.22,0.197,0.37,0.3284,115
1/5/2011,spring,10,0,Wednesday,1,Clear,0.22,0.197,0.37,0.3284,57
1/5/2011,spring,11,0,Wednesday,1,Clear,0.26,0.2273,0.33,0.3284,46
1/5/2011,spring,12,0,Wednesday,1,Clear,0.26,0.2273,0.33,0.3284,79
